id	name	github	branch_hint	title	venue	module	pdf	env_plan	conda
09	gbn	ZhenhHuang/GBN	main	Deeper with Riemannian Geometry: Overcoming Oversmoothing and Oversquashing for Graph Foundation Models	NeurIPS 2025	M1	papers/gnn-frontier-2025-2026/02-gnn-architecture-theory/09_Riemannian_GBN_NeurIPS2025.pdf	优先复用 dtgb；若官方钉 PyG 再新建 gbn	dtgb
10	stable_chebnet	ahariri13/Stable-ChebNet	main	Return of ChebNet: Understanding and Improving an Overlooked GNN on Long-Range Tasks	NeurIPS 2025 Spotlight	M1,M5	papers/gnn-frontier-2025-2026/02-gnn-architecture-theory/10_Stable-ChebNet_NeurIPS2025.pdf	视 PyG/LRGB 依赖，可能新建 chebnet	dtgb
31	puma	superallen13/PUMA	main	PUMA: Efficient Continual Graph Learning with Graph Condensation	TKDE 2025	M2	papers/gnn-frontier-2025-2026/08-ccf-journals/31_PUMA_TKDE2025.pdf	图压缩+持续学习，新建 puma	puma
15	scalegnn	lx970414/ScaleGNN	main	ScaleGNN: Towards Scalable Graph Neural Networks via Adaptive High-order Neighboring Feature Fusion	WWW 2026	M3	papers/gnn-frontier-2025-2026/03-scalable-bigdata-gnn/15_ScaleGNN_WWW2026.pdf	ogbn-arxiv 单卡，优先 dtgb	dtgb
44	labeling_trick	GraphPKU/LabelingTrick	main	Improving Graph Neural Networks on Multi-node Tasks with the Labeling Trick	JMLR 2025	M5	papers/gnn-frontier-2025-2026/11-journals-tnnls-jmlr/44_LabelingTrick_JMLR2025.pdf	LinkPred 子仓库，复用 dtgb	dtgb
13	mavn	bdi-lab/MAVN	main	Learn When and Where to Connect: Adaptive Virtual Nodes for Dynamic Message Passing on Graphs	KDD 2026	M5	papers/gnn-frontier-2025-2026/02-gnn-architecture-theory/13_MAVN_KDD2026.pdf	图级+LRGB，视依赖	dtgb
08	fair_eval_gfm	yandex-research/gnn-fair-evaluation	main	A Fair Evaluation of Graph Foundation Models for Node Property Prediction	ICML 2026 Workshop	M6	papers/gnn-frontier-2025-2026/01-graph-foundation-models/08_FairEval_GFM_ICML2026Workshop.pdf	评测框架，新建 gfm	gfm
01	equivariance	benfinkelshtein/EquivarianceEverywhere	main	Equivariance Everywhere All At Once: A Recipe for Graph Foundation Models	NeurIPS 2025	M6	papers/gnn-frontier-2025-2026/01-graph-foundation-models/01_EquivarianceEverywhere_NeurIPS2025.pdf	与 04 二选一做全量；预处理两篇都做	gfm
04	mf_gia	JhuoW/MF-GIA	main	Modality-Free Graph In-context Alignment	ICLR 2026	M6	papers/gnn-frontier-2025-2026/01-graph-foundation-models/04_MF-GIA_ICLR2026.pdf	与 01 二选一做全量；预处理两篇都做	gfm
23	graphrp	overwenyan/GraphRP-KDD2026	main	Defending against Model Extraction for GNNs with Model Reprogramming	KDD 2026	M7	papers/gnn-frontier-2025-2026/05-data-mining-security/23_GraphRP_KDD2026.pdf	与 41 二选一做全量；预处理两篇都做	dtgb
41	unlearning_inv	QwQ2000/WSDM26-Graph-Unlearning-Inversion	main	Unlearning Inversion Attacks for Graph Neural Networks	WSDM 2026	M7	papers/gnn-frontier-2025-2026/10-wsdm/41_UnlearningInversion_WSDM2026.pdf	与 23 二选一做全量；预处理两篇都做	dtgb
12	stem_gnn	GXG-CS/STEM-GNN	main	Generalizing GNNs with Tokenized Mixture of Experts	KDD 2026	M7	papers/gnn-frontier-2025-2026/02-gnn-architecture-theory/12_STEM-GNN_KDD2026.pdf	节点/边/图三类任务	dtgb
22	core_graphrag	erdemUB/KDD26	main	Core-based Hierarchies for Efficient GraphRAG	KDD 2026	M8	papers/gnn-frontier-2025-2026/04-graphrag-llm/22_CoreGraphRAG_KDD2026.pdf	只准备算法侧（k-core）；LLM 评测不做	dtgb
