id,filename,title,venue,year,arxiv,official_or_doi,code,reproducibility,researchability,topic
01,01-graph-foundation-models/01_EquivarianceEverywhere_NeurIPS2025.pdf,Equivariance Everywhere All At Once: A Recipe for Graph Foundation Models,NeurIPS,2025,https://arxiv.org/abs/2506.14291,https://proceedings.neurips.cc/paper_files/paper/2025/file/2b89783b68cdcfa7c8d7b08c09f47b2a-Paper-Conference.pdf,https://github.com/benfinkelshtein/EquivarianceEverywhere,高,很高,graph foundation model
02,01-graph-foundation-models/02_SCR_KG_GraphFoundation_NeurIPS2025.pdf,Towards Graph Foundation Models: Training on Knowledge Graphs Enables Transferability to General Graphs,NeurIPS,2025,https://arxiv.org/abs/2410.12609,https://proceedings.neurips.cc/paper_files/paper/2025/file/de04896f011beff76c91e094f72727f4-Paper-Conference.pdf,https://github.com/KyneWang/SCR,中高,很高,graph foundation model / KG
03,01-graph-foundation-models/03_GraphPFN_ICML2026.pdf,GraphPFN: A Prior-Data Fitted Graph Foundation Model,ICML,2026,https://arxiv.org/abs/2509.21489,https://icml.cc/virtual/2026/poster/66511,https://github.com/yandex-research/graphpfn,中,很高,graph foundation model / PFN
04,01-graph-foundation-models/04_MF-GIA_ICLR2026.pdf,Modality-Free Graph In-context Alignment,ICLR,2026,https://arxiv.org/abs/2603.13434,https://openreview.net/forum?id=cDc95lucVL,https://github.com/JhuoW/MF-GIA,高,高,in-context GFM
05,01-graph-foundation-models/05_AnyGraph_ACL2026.pdf,AnyGraph: Graph Foundation Model in the Wild,ACL Findings,2026,,https://aclanthology.org/2026.findings-acl.44.pdf,https://github.com/HKUDS/AnyGraph,中高,高,text-attributed GFM / MoE
06,01-graph-foundation-models/06_GraphBFF_BillionScale_arXiv.pdf,Billion-Scale Graph Foundation Models,arXiv (Meta),2026,https://arxiv.org/abs/2602.04768,https://arxiv.org/pdf/2602.04768,未公开,低,很高(方向),industrial GFM / scaling laws
07,01-graph-foundation-models/07_SPG_SpectralParsing_arXiv.pdf,A Graph Foundation Model with Spectral Parsing and Prototype-Guided Spatial Propagation,arXiv,2026,https://arxiv.org/abs/2606.03315,https://arxiv.org/pdf/2606.03315,补充材料(未见独立仓库),中,高,spectral GFM
08,01-graph-foundation-models/08_FairEval_GFM_ICML2026Workshop.pdf,A Fair Evaluation of Graph Foundation Models for Node Property Prediction,ICML Workshop GFM,2026,https://arxiv.org/abs/2606.24509,https://openreview.net/group?id=ICML.cc/2026/Workshop/GFM,https://github.com/yandex-research/gnn-fair-evaluation,高,很高,evaluation
09,02-gnn-architecture-theory/09_Riemannian_GBN_NeurIPS2025.pdf,Deeper with Riemannian Geometry: Overcoming Oversmoothing and Oversquashing for Graph Foundation Models,NeurIPS,2025,https://arxiv.org/abs/2510.17457,https://proceedings.neurips.cc/paper_files/paper/2025/file/e4e5d01075906f9d8522911a736aa5d9-Paper-Conference.pdf,https://github.com/ZhenhHuang/GBN,高,很高,oversmoothing / geometry
10,02-gnn-architecture-theory/10_Stable-ChebNet_NeurIPS2025.pdf,Return of ChebNet: Understanding and Improving an Overlooked GNN on Long-Range Tasks,NeurIPS Spotlight,2025,https://arxiv.org/abs/2506.07624,https://proceedings.neurips.cc/paper_files/paper/2025/file/c6de943558fe0b1bf4ea8f09fbcede44-Paper-Conference.pdf,https://github.com/ahariri13/Stable-ChebNet,高,高,spectral GNN / long-range
